                             3345 m..b r/rr-xr-xr-x 48       0        125-128-3 /NETLOG.TXT
                               86 m.cb r/rr-xr-xr-x 48       0        125-48-1 /NETLOG.TXT ($FILE_NAME)
Wed Aug 18 2004 19:53:34        0 ...b r/rrwxrwxrwx 48       0        127-128-3 /AUTOEXEC.BAT
                               90 ...b r/rrwxrwxrwx 48       0        127-48-1 /AUTOEXEC.BAT ($FILE_NAME)
Wed Aug 18 2004 19:53:36        0 m... r/rrwxrwxrwx 48       0        127-128-3 /AUTOEXEC.BAT
                               90 m.c. r/rrwxrwxrwx 48       0        127-48-1 /AUTOEXEC.BAT ($FILE_NAME)
Wed Aug 18 2004 19:54:36    49152 ma.b r/rr-xr-xr-x 48       0        131-128-3 /VIDEOROM.BIN
                               90 macb r/rr-xr-xr-x 48       0        131-48-1 /VIDEOROM.BIN ($FILE_NAME)
Wed Aug 18 2004 19:54:54       30 ...b r/rrwxrwxrwx 48       0        129-128-3 /CONFIG.SYS
                               86 ...b r/rrwxrwxrwx 48       0        129-48-1 /CONFIG.SYS ($FILE_NAME)
Wed Aug 18 2004 19:54:56       30 m... r/rrwxrwxrwx 48       0        129-128-3 /CONFIG.SYS
                               86 m.c. r/rrwxrwxrwx 48       0        129-48-1 /CONFIG.SYS ($FILE_NAME)
Wed Aug 18 2004 19:55:24       56 ...b d/drwxrwxrwx 48       0        330-144-7 /My Documents
                               90 ...b d/drwxrwxrwx 48       0        330-48-3 /My Documents ($FILE_NAME)
Wed Aug 18 2004 19:55:26       90 m.c. d/drwxrwxrwx 48       0        330-48-3 /My Documents ($FILE_NAME)
Wed Aug 18 2004 19:56:12    46251 m..b r/rr-xr-xr-x 48       0        130-128-3 /BOOTLOG.PRV
                               88 m.cb r/rr-xr-xr-x 48       0        130-48-1 /BOOTLOG.PRV ($FILE_NAME)
Thu Aug 19 2004 03:00:00    41727 .a.. r/rr-xr-xr-x 48       0        119-128-3 /BOOTLOG.TXT
                               88 .a.. r/rr-xr-xr-x 48       0        119-48-1 /BOOTLOG.TXT ($FILE_NAME)
                                0 .a.. r/rrwxrwxrwx 48       0        127-128-3 /AUTOEXEC.BAT
                               90 .a.. r/rrwxrwxrwx 48       0        127-48-1 /AUTOEXEC.BAT ($FILE_NAME)
                               86 .a.. r/rrwxrwxrwx 48       0        129-48-1 /CONFIG.SYS ($FILE_NAME)
                           222368 .a.. r/r--x--x--x 48       0        3662-128-3 /ntldr
                               76 .a.. r/r--x--x--x 48       0        3662-48-1 /ntldr ($FILE_NAME)
                            45124 .a.. r/r--x--x--x 48       0        3663-128-3 /ntdetect.com
                               90 .a.. r/r--x--x--x 48       0        3663-48-1 /ntdetect.com ($FILE_NAME)
                               82 .a.. r/rr-xr-xr-x 48       0        3664-48-1 /boot.ini ($FILE_NAME)
                              512 .a.. r/rr-xr-xr-x 48       0        456-128-3 /BOOTSECT.DOS
                               90 .a.. r/rr-xr-xr-x 48       0        456-48-1 /BOOTSECT.DOS ($FILE_NAME)
                               80 .a.. d/drwxrwxrwx 48       0        458-48-1 /WINDOWS ($FILE_NAME)
Thu Aug 19 2004 18:39:26    41727 m..b r/rr-xr-xr-x 48       0        119-128-3 /BOOTLOG.TXT
                               88 m.cb r/rr-xr-xr-x 48       0        119-48-1 /BOOTLOG.TXT ($FILE_NAME)
Thu Aug 19 2004 19:47:33      194 ...b r/rr-xr-xr-x 48       0        3664-128-4 /boot.ini
                               82 ...b r/rr-xr-xr-x 48       0        3664-48-1 /boot.ini ($FILE_NAME)
                              512 ...b r/rr-xr-xr-x 48       0        456-128-3 /BOOTSECT.DOS
                               90 ...b r/rr-xr-xr-x 48       0        456-48-1 /BOOTSECT.DOS ($FILE_NAME)
Thu Aug 19 2004 19:47:34      512 m... r/rr-xr-xr-x 48       0        456-128-3 /BOOTSECT.DOS
                               90 m.c. r/rr-xr-xr-x 48       0        456-48-1 /BOOTSECT.DOS ($FILE_NAME)
Thu Aug 19 2004 19:50:37 201326592 ...b r/rr-xr-xr-x 0        0        228-128-1 /pagefile.sys
                               90 ...b r/rr-xr-xr-x 0        0        228-48-2 /pagefile.sys ($FILE_NAME)
                               56 ...b d/drwxrwxrwx 48       0        458-144-6 /WINDOWS
                               80 ...b d/drwxrwxrwx 48       0        458-48-1 /WINDOWS ($FILE_NAME)
Thu Aug 19 2004 19:50:38       80 m.c. d/drwxrwxrwx 48       0        458-48-1 /WINDOWS ($FILE_NAME)
Thu Aug 19 2004 19:56:22       82 m.c. r/rr-xr-xr-x 48       0        3664-48-1 /boot.ini ($FILE_NAME)
Thu Aug 19 2004 19:57:43 12600320 macb r/rr-xr-xr-x 0        0        0-128-7  /$MFT
                               74 macb r/rr-xr-xr-x 0        0        0-48-3   /$MFT ($FILE_NAME)
                             4096 macb r/rr-xr-xr-x 0        0        1-128-1  /$MFTMirr
                               82 macb r/rr-xr-xr-x 0        0        1-48-2   /$MFTMirr ($FILE_NAME)
                           131072 macb r/rr-xr-xr-x 0        0        10-128-1 /$UpCase
                               80 macb r/rr-xr-xr-x 0        0        10-48-2  /$UpCase ($FILE_NAME)
                              344 macb d/dr-xr-xr-x 0        0        11-144-4 /$Extend
                               80 macb d/dr-xr-xr-x 0        0        11-48-3  /$Extend ($FILE_NAME)
                         26460160 macb r/rr-xr-xr-x 0        0        2-128-1  /$LogFile
                               82 macb r/rr-xr-xr-x 0        0        2-48-2   /$LogFile ($FILE_NAME)
                                0 macb r/rr-xr-xr-x 48       0        3-128-3  /$Volume
                               80 macb r/rr-xr-xr-x 48       0        3-48-1   /$Volume ($FILE_NAME)
                             2560 macb r/rr-xr-xr-x 48       0        4-128-4  /$AttrDef
                               82 macb r/rr-xr-xr-x 48       0        4-48-2   /$AttrDef ($FILE_NAME)
                          1188808 macb r/rr-xr-xr-x 0        0        6-128-1  /$Bitmap
                               80 macb r/rr-xr-xr-x 0        0        6-48-2   /$Bitmap ($FILE_NAME)
                             8192 macb r/rr-xr-xr-x 48       0        7-128-1  /$Boot
                               76 macb r/rr-xr-xr-x 48       0        7-48-2   /$Boot ($FILE_NAME)
                         4869332992 macb r/rr-xr-xr-x 0        0        8-128-1  /$BadClus:$Bad
                                0 macb r/rr-xr-xr-x 0        0        8-128-2  /$BadClus
                               82 macb r/rr-xr-xr-x 0        0        8-48-3   /$BadClus ($FILE_NAME)
                           277616 macb r/rr-xr-xr-x 0        0        9-128-8  /$Secure:$SDS
                               56 macb r/rr-xr-xr-x 0        0        9-144-11 /$Secure:$SDH
                               56 macb r/rr-xr-xr-x 0        0        9-144-14 /$Secure:$SII
Thu Aug 19 2004 19:59:01       56 ...b d/drwxrwxrwx 0        0        3671-144-7 /Documents and Settings
